,Bid Range,Number of Impressions,Number of Clicks,Spent Amount,CTR,CPC,CPM
269,"[86,160]",115866,58,6249922,0.0005005782541901852,107757.27586206897,53940.94902732467
270,"[91,300]",93832,56,6249931,0.0005968113223633728,111605.91071428571,66607.67115696138
271,"[91,290]",94769,56,6249989,0.0005909105298146019,111606.94642857143,65949.71984509703
272,"[91,280]",95476,58,6249979,0.0006074825086932842,107758.25862068965,65461.25727931627
273,"[91,270]",96497,53,6249962,0.0005492398727421578,117923.81132075471,64768.45912308155
274,"[91,260]",97679,47,6249972,0.0004811679071243563,132978.12765957447,63984.80737927293
275,"[91,250]",99226,55,6249998,0.0005542902061959567,113636.32727272727,62987.50327535122
276,"[91,240]",100364,57,6249842,0.0005679327248814316,109646.35087719298,62271.75082698976
277,"[91,230]",101765,57,6249953,0.000560113988109861,109648.29824561403,61415.54561981035
278,"[91,220]",103462,55,6249996,0.0005315961415785506,113636.29090909091,60408.61379057045
279,"[91,210]",104998,57,6249932,0.000542867483190156,109647.9298245614,59524.29570087049
280,"[91,200]",106914,56,6249966,0.0005237854724357895,111606.53571428571,58457.88203602896
281,"[91,190]",108678,59,6249961,0.0005428881650380022,105931.54237288136,57508.98065845893
282,"[91,180]",110793,57,6249970,0.0005144729360158132,109648.59649122808,56411.235366855304
283,"[91,170]",112788,59,6249943,0.0005231052948895272,105931.2372881356,55413.19111962266
284,"[91,160]",114973,57,6249991,0.0004957685717516286,109648.9649122807,54360.51072860585
285,"[96,300]",93004,54,6249997,0.0005806201883789945,115740.68518518518,67201.37843533611
286,"[96,290]",94001,53,6249927,0.0005638237891086265,117923.15094339622,66487.87778853417
287,"[96,280]",95012,56,6249989,0.0005893992337809961,111606.94642857143,65781.04870963667
288,"[96,270]",95762,59,6249909,0.0006161107746287672,105930.66101694915,65265.02161608989
289,"[96,260]",96951,60,6249912,0.0006188693257418696,104165.2,64464.64708976699
290,"[96,250]",98192,56,6249874,0.0005703112269838683,111604.89285714286,63649.52338276031
291,"[96,240]",99543,59,6249914,0.000592708678661483,105930.74576271187,62786.07235064243
292,"[96,230]",100938,55,6249993,0.0005448889417266045,113636.23636363636,61919.1285739761
293,"[96,220]",102774,56,6249962,0.0005448848930663398,111606.46428571429,60812.67635783369
294,"[96,210]",104411,62,6249896,0.0005938071659116376,100804.7741935484,59858.59727423356
295,"[96,200]",105990,55,6249984,0.0005189168789508444,113636.07272727272,58967.676195867534
296,"[96,190]",107793,59,6249981,0.0005473453749315818,105931.8813559322,57981.32531797056
297,"[96,180]",109921,58,6249974,0.0005276516771135634,107758.1724137931,56858.78039683045
298,"[96,170]",112085,59,6249880,0.0005263862247401526,105930.16949152542,55760.18200472855
299,"[96,160]",114237,57,6249907,0.0004989626828435621,109647.49122807017,54710.00639022383
300,"[101,300]",92605,56,6249929,0.0006047189676583337,111605.875,67490.18951460504
301,"[101,290]",93427,56,6249967,0.0005993984608303809,111606.55357142857,66896.79642929774
